마이크로닉스 Classic II 500W +12V Single Rail 85+,마이크로닉스,ATX,500,120,1,액티브,싱글레일,37,3,6,2,6,20핀+4핀 / 깊이: 140mm / 보조8핀 커넥터 / 보조4핀 커넥터 / FDD 커넥터 / 대기전력 1W / 플랫케이블 / 80 PLUS / 스탠다드,40800
FSP HYPER K 500W 80PLUS Standard 230V EU,FSP,ATX,500,120,1,액티브,싱글레일,38,3,6,2,5,24핀 전용 / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 플랫케이블 / 80 PLUS / 스탠다드 / 2018년 11월 메인커넥터 (20+4핀→24핀) 변경,40100
마이크로닉스 Classic II 700W +12V Single Rail 85+,마이크로닉스,ATX,700,120,1,액티브,싱글레일,52,4,6,4,6,20핀+4핀 / 깊이: 140mm / 보조8핀 커넥터 / 보조4핀 커넥터 / FDD 커넥터 / 대기전력 1W / 플랫케이블 / 80 PLUS / 스탠다드,63600
잘만 EcoMax 500W 83+,잘만,ATX,500,120,1,NA,다중레일,20,3,4,2,3,20핀+4핀 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / 대기전력 1W,27600
마이크로닉스 Classic II 600W +12V Single Rail 85+,마이크로닉스,ATX,600,120,1,액티브,싱글레일,45,4,6,2,6,20핀+4핀 / 깊이: 140mm / 보조8핀 커넥터 / 보조4핀 커넥터 / FDD 커넥터 / 대기전력 1W / 플랫케이블 / 80 PLUS / 스탠다드,49600
FSP HYPER K 600W 80PLUS Standard 230V EU,FSP,ATX,600,120,1,액티브,싱글레일,45,3,6,2,5,24핀 전용 / 깊이: 140mm / 보조8핀 커넥터 / 플랫케이블 / 80 PLUS / 스탠다드 / 2018년 11월 메인커넥터 (20+4핀→24핀) 변경,51000
FSP HYPER K 700W 80PLUS Standard 230V EU,FSP,ATX,700,120,1,액티브,싱글레일,53,2,8,4,5,24핀 전용 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / 보조8핀 커넥터 / FDD 커넥터 / 플랫케이블 / 80 PLUS / 스탠다드 / 2018년 11월 메인커넥터 (20+4핀→24핀) 변경 / 2019년 1월 8핀 커넥터 추가,68000
Antec NeoECO NE650C 80PLUS BRONZE,Antec,ATX,650,120,1,액티브,싱글레일,50,3,8,4,3,20핀+4핀 / 보조8핀(4+4) 커넥터 / FDD 커넥터 / Reform 케이블 / 대기전력 1W / 프리볼트 / 80 PLUS / 브론즈,65200
ABKO SUITMASTER Mighty 600W 80PLUS Standard 230V EU,ABKO,ATX,600,120,1,액티브,싱글레일,45,4,6,2,6,20핀+4핀 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 대기전력 1W / 플랫케이블 / 80 PLUS / 스탠다드,53500
시소닉 FOCUS PLUS Gold SSR-850FX Full Modular,시소닉,ATX,850,120,1,액티브,싱글레일,70,5,10,6,10,20핀+4핀 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / Reform 케이블 / 케이블 연결식 / 대기전력 1W / 플랫케이블 / 프리볼트 / 80 PLUS / 골드,152000
시소닉 FOCUS PLUS Gold SSR-750FX Full Modular,시소닉,ATX,750,120,1,액티브,싱글레일,62,3,8,4,10,20핀+4핀 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / Reform 케이블 / 케이블 연결식 / 대기전력 1W / 플랫케이블 / 프리볼트 / 80 PLUS / 골드,135000
Antec EAG PRO 750W 80PLUS GOLD 모듈러 AONE,Antec,ATX,750,120,1,액티브,싱글레일,62,3,8,4,7,20핀+4핀 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / 케이블 연결식(전체) / 대기전력 1W / 프리볼트 / 80 PLUS / 골드,94900
EVGA 750 GQ 80PLUS GOLD,EVGA,ATX,750,135,1,액티브,싱글레일,62,3,9,6,5,24핀 전용 / 깊이: 165mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 케이블 연결식 / 프리볼트 / 80 PLUS / 골드,108500
COOLMAX FOCUS 600W 80Plus 230V EU,COOLMAX,ATX,600,120,1,액티브,다중레일,30,3,4,2,5,20핀+4핀 / 보조8핀(4+4) 커넥터 / 대기전력 1W / 80 PLUS / 스탠다드,42200
쿨러마스터 MWE 500W 80PLUS Standard 230V EU,쿨러마스터,ATX,500,120,1,액티브,싱글레일,38,3,6,2,5,20핀+4핀 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 80 PLUS / 스탠다드,40100
FSP Hydro K 600W 80PLUS BRONZE 230V EU,FSP,ATX,600,120,1,액티브,싱글레일,46,3,10,4,5,20핀+4핀 / 깊이: 150mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 80 PLUS / 브론즈,66100
